,Date,Country,Confirmed,Recovered,Deaths
16500,1/22/2020,Germany,0,0,0
16501,1/23/2020,Germany,0,0,0
16502,1/24/2020,Germany,0,0,0
16503,1/25/2020,Germany,0,0,0
16504,1/26/2020,Germany,0,0,0
16505,1/27/2020,Germany,1,0,0
16506,1/28/2020,Germany,4,0,0
16507,1/29/2020,Germany,4,0,0
16508,1/30/2020,Germany,4,0,0
16509,1/31/2020,Germany,5,0,0
16510,2/1/2020,Germany,8,0,0
16511,2/2/2020,Germany,10,0,0
16512,2/3/2020,Germany,12,0,0
16513,2/4/2020,Germany,12,0,0
16514,2/5/2020,Germany,12,0,0
16515,2/6/2020,Germany,12,0,0
16516,2/7/2020,Germany,13,0,0
16517,2/8/2020,Germany,13,0,0
16518,2/9/2020,Germany,14,0,0
16519,2/10/2020,Germany,14,0,0
16520,2/11/2020,Germany,16,0,0
16521,2/12/2020,Germany,16,0,0
16522,2/13/2020,Germany,16,1,0
16523,2/14/2020,Germany,16,1,0
16524,2/15/2020,Germany,16,1,0
16525,2/16/2020,Germany,16,1,0
16526,2/17/2020,Germany,16,1,0
16527,2/18/2020,Germany,16,12,0
16528,2/19/2020,Germany,16,12,0
16529,2/20/2020,Germany,16,12,0
16530,2/21/2020,Germany,16,14,0
16531,2/22/2020,Germany,16,14,0
16532,2/23/2020,Germany,16,14,0
16533,2/24/2020,Germany,16,14,0
16534,2/25/2020,Germany,17,14,0
16535,2/26/2020,Germany,27,15,0
16536,2/27/2020,Germany,46,16,0
16537,2/28/2020,Germany,48,16,0
16538,2/29/2020,Germany,79,16,0
16539,3/1/2020,Germany,130,16,0
16540,3/2/2020,Germany,159,16,0
16541,3/3/2020,Germany,196,16,0
16542,3/4/2020,Germany,262,16,0
16543,3/5/2020,Germany,482,16,0
16544,3/6/2020,Germany,670,17,0
16545,3/7/2020,Germany,799,18,0
16546,3/8/2020,Germany,1040,18,0
16547,3/9/2020,Germany,1176,18,2
16548,3/10/2020,Germany,1457,18,2
16549,3/11/2020,Germany,1908,25,3
16550,3/12/2020,Germany,2078,25,3
16551,3/13/2020,Germany,3675,46,7
16552,3/14/2020,Germany,4585,46,9
16553,3/15/2020,Germany,5795,46,11
16554,3/16/2020,Germany,7272,67,17
16555,3/17/2020,Germany,9257,67,24
16556,3/18/2020,Germany,12327,105,28
16557,3/19/2020,Germany,15320,113,44
16558,3/20/2020,Germany,19848,180,67
16559,3/21/2020,Germany,22213,233,84
16560,3/22/2020,Germany,24873,266,94
16561,3/23/2020,Germany,29056,266,123
16562,3/24/2020,Germany,32986,3243,157
16563,3/25/2020,Germany,37323,3547,206
16564,3/26/2020,Germany,43938,5673,267
16565,3/27/2020,Germany,50871,6658,342
16566,3/28/2020,Germany,57695,8481,433
16567,3/29/2020,Germany,62095,9211,533
16568,3/30/2020,Germany,66885,13500,645
16569,3/31/2020,Germany,71808,16100,775
16570,4/1/2020,Germany,77872,18700,920
16571,4/2/2020,Germany,84794,22440,1107
16572,4/3/2020,Germany,91159,24575,1275
16573,4/4/2020,Germany,96092,26400,1444
16574,4/5/2020,Germany,100123,28700,1584
16575,4/6/2020,Germany,103374,28700,1810
16576,4/7/2020,Germany,107663,36081,2016
16577,4/8/2020,Germany,113296,46300,2349
16578,4/9/2020,Germany,118181,52407,2607
16579,4/10/2020,Germany,122171,53913,2767
16580,4/11/2020,Germany,124908,57400,2736
16581,4/12/2020,Germany,127854,60300,3022
16582,4/13/2020,Germany,130072,64300,3194
16583,4/14/2020,Germany,131359,68200,3294
16584,4/15/2020,Germany,134753,72600,3804
16585,4/16/2020,Germany,137698,77000,4052
16586,4/17/2020,Germany,141397,83114,4352
16587,4/18/2020,Germany,143342,85400,4459
16588,4/19/2020,Germany,145184,88000,4586
16589,4/20/2020,Germany,147065,91500,4862
16590,4/21/2020,Germany,148291,95200,5033
16591,4/22/2020,Germany,150648,99400,5279
16592,4/23/2020,Germany,153129,103300,5575
16593,4/24/2020,Germany,154999,109800,5760
16594,4/25/2020,Germany,156513,109800,5877
16595,4/26/2020,Germany,157770,112000,5976
16596,4/27/2020,Germany,158758,114500,6126
16597,4/28/2020,Germany,159912,117400,6314
16598,4/29/2020,Germany,161539,120400,6467
16599,4/30/2020,Germany,163009,123500,6623
16600,5/1/2020,Germany,164077,126900,6736
16601,5/2/2020,Germany,164967,129000,6812
16602,5/3/2020,Germany,165664,130600,6866
16603,5/4/2020,Germany,166152,132700,6993
16604,5/5/2020,Germany,167007,135100,6993
16605,5/6/2020,Germany,168162,139900,7275
16606,5/7/2020,Germany,169430,141700,7392
16607,5/8/2020,Germany,170588,141700,7510
16608,5/9/2020,Germany,171324,143300,7549
16609,5/10/2020,Germany,171879,144400,7569
16610,5/11/2020,Germany,172576,145617,7661
16611,5/12/2020,Germany,173171,147200,7738
16612,5/13/2020,Germany,174098,148700,7861
16613,5/14/2020,Germany,174478,150300,7884
16614,5/15/2020,Germany,175233,151597,7897
16615,5/16/2020,Germany,175752,152600,7938
16616,5/17/2020,Germany,176369,154011,7962
16617,5/18/2020,Germany,176551,155041,8003
16618,5/19/2020,Germany,177778,155681,8081
16619,5/20/2020,Germany,178473,156966,8144
16620,5/21/2020,Germany,179021,158087,8203
16621,5/22/2020,Germany,179710,159064,8228
16622,5/23/2020,Germany,179986,159716,8261
16623,5/24/2020,Germany,180328,160281,8283
16624,5/25/2020,Germany,180600,161199,8309
16625,5/26/2020,Germany,181200,161967,8372
16626,5/27/2020,Germany,181524,162820,8428
16627,5/28/2020,Germany,182196,163360,8470
16628,5/29/2020,Germany,182922,164245,8504
16629,5/30/2020,Germany,183189,164908,8530
16630,5/31/2020,Germany,183410,165352,8540
16631,6/1/2020,Germany,183594,165632,8555
